Year,LaborShare,CapitalShare,ProfitShare,Profitshare1,LaborShareIncludingOfficers,USPopultion,TotalPatentApplications,PtntppPatentApplicationPopula,Patent4YMAFouryearmovingaver,TotalPatentgranted,PatentInventionGrantsPercent,NumberofCopyrightregistered,CprtppCopyrightRegisteredPopu,Cprt4YMAFouryearmovingaverag,NumberofTrademarksRegistered,TrademarksRegisteredPopulation,TrdmarkGDPTrademarksRegistere,Trdmark4YMAFouryearmovingave,GrowthrateGrowthRateofRealG,ProductivityNonFarmOutputper,CorporateSectorIntangibleAsse,privatesectorRDExpensesNom,PriceindexforRDexpenses20,RealGDP1982pricesBalkeandG,RealGDPBillionof2012prices,TotalRDExpensesBillion,TotalRDGDP,CorptaxCorporateTaxRateofhi,MaxtaxMaximalIndividualMargin,PresidentThePresidentsParty,UnionmembersofunionNonFarm,Percentemployedmembersofunio,BLSdataonEmployedwageandsa,FriedmanUnionMembers,AllNonFarmEmployed,CivilianLaborForcethousands,Unemployedthousands,Totalnonfarmemployeesthousa,totalgovernmentemployeesthou,Unemployedasafractionofthe,CivilianunemploymentRate,YEAR,WorkersinvolvedinStopagesas,AS,FederalExpendituresMillion,DefenseExpendituresBillion,DefenseasafractionofFederalE,DefenseGDPDefenseExpenditures,FederalGDPFederalExpenditures,Threeyearmovingaverageofpro,Fouryearlagofthethreeyear,Fiveyearlagofthethreeyear,FouryearMovingaverageofpric,changeinCPI,InventoryValuationAdjustment,ValueAddedforCorrespondingye,IVAValueAdded,YearswhenabsolutevalueofIVA,YearsofInflationsorDeflation,BI,Adjustedfouryearmovingaverag,HouseMedianMedianideologyHouse,HouseMeanmeanideologyHouse,IdeologyPresmedianideologyPresid,SenateMedianmedianideologySena,SenateMeanmeanideologySenate,BalanceofPayments,PagesofRegulations,YearsWithoutCFRRegulations,BS,BT,BU,BV,InterpolatedPagesofRegulations,CivilServants,PolicyUncertainty,NGDPNominal,BOPGDP,NeutralTechChangeBocola,NumberofDOJAntitrustCases,AntitrustCivilCases,NumberofPrivateAntitrustCase,RestraintofTradecases,NumberofMergersandAcquisitio,MiningManufacturingMergers,MiningManufacturingMergerValu,Sizeofpublicutilities,Minimumwages,MinimumwagecoveragefromBrow,ManufacturingAHE,MedianWage,MinWagebiteadjustedforcovera,CivServPop,mergers_GDP,nonDefenseGDP,privateRD_GDP,privateRD_growth,publicRD_GDP,publicRD_growth,patentappsGDP,patentgrantsGDP,copyrightsGDP,imputed_privateRDgrowth,imputed_publicRDgrowth,cumprod_privRDgrowth,cumprod_pubRDgrowth,regulationgrowth,imputed_regulations,cumprod_regulations
1885,,,,,,56658,35645,.6291256309788555,,24054,.0644,28748,.507395248685093,,1067,.0188322919975996,4.284242931855172,,.759013282732468,2.48,,,,159.3,249.052170236753,,,0,0,,5.68,,,,,,,,,,,1885,4.2,,260,.0587,22.57692307692308,.5012809564474808,2.220324508966695,.0248,,,,-1.692045826113797,,,,,,1885,,-.2235,-.0415331,-.362,.1855,-.0473095,-15,6.8854404514458,,,,,,,113915,95.62425683333332,11705,-.001281503630927,,0,0,,,0,,,,,0,,,0,2.010572205160789,0,1.7190435,.0003219385225829,,.0007385240755812,,143.12262,96.582176,115.42963,.96146917,.48311472,5.7103238,.3189511,,1.007979,1.4147683
1886,,,,,,57938,36399,.6282405329835341,,22361,.0687,31638,.5460664848631296,,1029,.0177603645275985,4.010811384449787,,3.01318267419961,2.48,,,,164.1,256.556567080045,,,0,0,,5.68,,,,,,,,,,,1886,4.2,,242,.0482,19.91735537190083,.3996683250414593,2.006633499170812,.0248,,,,-2.590405139363794,,,,,,1886,,-.2235,-.0415331,-.362,.1855,-.0473095,-105,6.939180533705484,,,,,,,117264,95.62425683333332,12297,-.008538667967797,,0,0,,,0,,,,,0,,,0,2.023956643308364,0,1.6069652,.0003296914795526,,.0005282261408604,,141.87514,87.158165,123.31783,1.0240821,.71524566,5.9391646,.66019744,,1.0078049,1.4035692
1887,,,,,,59217,35650,.6020230677001537,,21351,.07194,35467,.5989327389094348,,1133,.0191330192343415,4.22562769989399,,4.509445460085315,2.48,,,,171.5,268.1258455467868,,,0,0,,5.68,,,,,,,,,,,1887,4.2,,268,.0537,20.03731343283582,.4258524980174466,2.125297383029342,.0248,,,,.8828847994893918,,,,,,1887,,-.173,-.0068754,-.362,.161,-.0705714,-185,6.994790717578162,,,,,,,120699,95.62425683333332,13273,-.0139380697656897,,0,0,,,2,,,,,0,,,0,2.038249151426111,.0074591839362648,1.6994449,.000347236278346,,.0004362237075775,,132.95996,79.630516,132.27744,1.0532159,.8258276,5.7995005,.92303592,,1.008014,1.3926994
1888,,,,,,60496,35575,.5880554086220576,.6118611600711502,20383,.0754,38907,.6431334303094419,.5738819756917748,1059,.0175052896059244,3.968148206586123,4.122207555696268,-.4664723032069995,2.48,,,,170.7,266.8751127395715,,,0,0,,5.68,,,,,,,,,,,1888,4.2,,268,.0554,20.67164179104478,.4345098039215686,2.101960784313725,.0248,,,,0,,,,,,1888,,-.173,-.0068754,-.362,.161,-.0705714,-256,7.049628531052549,,,,,,,129474,95.62425683333332,14000,-.0182857142857143,,0,0,,,3,,,,,0,,,0,2.140207617032531,.011241213049819,1.667451,.0003731590972658,,.0003955439906623,,133.30205,76.376549,145.78729,1.0746547,.90674567,5.5064692,1.1177102,,1.0078398,1.3816271
1889,.7126282338716146,.2754381178313195,-.0262635239666822,,.7766282338716146,61775,40464,.6550222581950628,.618335316875202,24045,.0833021418174257,41297,.6685066774585188,.6141598328851312,1229,.0198947794415217,4.335902662411201,4.135122488335275,6.20972466315175,-1.1,,,,181.3,283.4473224351747,,,0,0,1,5.68,,513.9290555,713.5,,,,,,7.72,3.85,1889,4.2,*,299,.0658,22.0066889632107,.4848931466470154,2.203389830508474,.0128666666666667,.0248,.0248,-1.040716136590381,-2.625474483340362,-.2042366725248988,13.36820800823789,-1.527778984281528,0,0,1889,-.8498915414970498,.1725,.0313503,.268,.204,-.0072527,-210,7.114069046075152,,,,,,,138795,95.62425683333332,13987,-.015013941517123,,0,0,,,12,,,,,0,,,0,2.246782679077297,.0423359088274487,1.7184967,.0003981347596706,,.0002989128307765,,142.75668,84.830574,145.6955,1.0669303,.75570065,5.1239429,1.2326611,,1.009141,1.3708797
1890,.6589417844618224,.257817718691311,.0469142992924734,-.0262635239666822,.7229417844618224,63056,40930,.6491055569652372,.6235515728706278,26194,.0803619149423532,43093,.6834083988835321,.6484953113902319,1415,.0224403704643492,4.921530216892907,4.362802196446055,1.434087148372853,7.299270072992692,,,,183.9,287.5122040586245,,,0,0,1,5.764501083727218,,592.1528753,822.1,10272.40461401952,,,,,7.75,3.97,1890,4.2,,318,.0666,20.94339622641509,.4955357142857142,2.366071428571428,.028930900243309,.0248,.0248,-.8587721963796868,-1.808337845154306,.0789586321014898,15.33324079727813,.5149507083688798,0,0,1890,-1.083248705803691,.1725,.0313503,.268,.204,-.0072527,-195,7.177858840327984,,,,,,,142083,95.62425683333332,15223,-.0128095644748079,,1,.0019477434073922,,,15,,,,,0,,,0,2.253282796244608,.0521716984122923,1.8705357,.0003703291295954,,.0001860785179201,,142.35918,91.105698,149.88234,.93016028,.62251765,4.8025093,1.6311501,,1.0089667,1.358462
1891,.6499115910909714,.2733700510421462,.0397264135519493,.0469142992924734,.7139115910909715,64361,40443,.6283774335389444,.6301401643303255,23146,.0832973299922233,49199,.764422554031168,.6898677651706653,1762,.0273768275819207,5.934804053218262,4.790096284777123,3.262642740619892,1.814058956916087,,,,189.9,296.8927001127395,,,0,0,1,5.819778411999999,,617.8673353999999,857.8,10616.68145519077,,,,,8.619999999999999,4.49,1891,3.6,,367,.0748,20.38147138964578,.5396825396825398,2.647907647907648,.0267110967663626,.0248,.0248,-1.212994483981567,0,-.0294747145187596,16.16474832219307,-.182339458253692,0,0,1891,-.8877318822513192,-.2605,-.1391017,.268,.075,-.0499375,-140,7.285077398321137,,,,,,,145439,95.62425683333332,15558,-.0089985859364957,,0,0,,,16,,,,,0,,,0,2.259738040117462,.0538915237522657,2.1082251,.000392030712537,,.0001670467941861,,136.22093,77.960823,165.71307,1.0586008,.89772213,5.1630988,2.6202471,,1.0149374,1.3463893
1892,.58407985470539,.2723591234409427,.1085451188074463,.0397264135519493,.6480798547053901,65666,40644,.6189504461974233,.6378639237241669,23462,.0874179524337226,56006,.8528919075320561,.7423073844763187,1737,.0264520451984284,5.588675372951611,5.195228076368495,4.686677198525535,10.02227171492205,,,,198.8,310.80710259301,,,0,0,1,5.127207869317675,,571.4084369,793.3,11144.63176574978,,,,,8.130000000000001,4.31,1892,2.5,,345,.076,22.02898550724638,.5303558967201675,2.407536636427076,.0637853358161028,.0248,.0248,-2.175177787354543,0,-.1139199578725642,18.86470551272257,-.6038788031741885,0,0,1892,-1.108453082123667,-.2605,-.1391017,.268,.075,-.0499375,-74,7.392628209670526,,,,,,,148042.7,95.62425683333332,16514,-.0044810463848856,,5,.0090088031342916,,,15,,,,,0,,,0,2.254480248530442,.0482614453622764,1.8771807,.0003836740945692,,.0001564864511343,,130.76921,75.487335,180.19537,.97868377,.93678206,4.877286,2.9187732,,1.0147632,1.3265737
1893,.6117684552584681,.3293896343024184,.0216226944587201,.1085451188074463,.6757684552584682,66970,38353,.5726892638494848,.6172806751377724,23649,.1045710178020212,58964,.880453934597581,.7952941987610843,1677,.0250410631626101,5.39834505682284,5.460838674971405,-.0503018108652054,-4.453441295546545,,,,198.7,310.6507609921081,,,0,0,0,5.21638248249719,,576.8106343999999,800.8,11057.67524401065,,,,,12.6,6.77,1893,3.2,,383,.0797,20.80939947780679,.5546276965901183,2.665274878218511,.0246096312543053,.0128666666666667,.0248,-2.859678296449863,-.9153065725628573,.1669828973843067,17.48250294615413,.9551429672204933,0,0,1893,-1.108453082123667,-.235,-.064168,-.362,-.166,-.0724062,-163,7.514095759721992,,,,,,,150646.4,95.62425683333332,15566,-.010471540537068,,1,.001802667401205,,,11,,,,,0,,,0,2.249460952665372,.0354095382379554,2.1106472,.0004219514306812,,.0001204977919886,,123.46018,76.127289,189.808,1.0997652,.7700206,4.9835157,3.1157439,,1.0164309,1.3072742
1894,.6028769743640043,.3689054585344312,-.0087341780920052,.0216226944587201,.6668769743640044,68275,38344,.56161113145368,.5954070687598831,20761,.1043302345744425,62790,.9196631270596851,.8543578808051226,1806,.0264518491395093,5.988402232751036,5.727556678935938,-2.918973326623042,0,,,,192.9,301.5829481397969,,,0,0,0,5.753161867974507,,624.7821481999999,867.4,10859.80479148181,,,,,17.1,9.279999999999999,1894,8.300000000000001,,368,.0863,23.45108695652174,.6532929598788796,2.785768357305072,.018562768064585,.028930900243309,.0128666666666667,-3.628478445060157,-4.629938786867016,.3370951182687464,16.56839498383193,2.034567129753345,0,0,1894,-.6809111044292909,-.235,-.064168,-.362,-.166,-.0724062,44,7.636250266739387,,,,,,,152250.1,95.62425683333332,14280,.0030812324929972,,2,.0037137378187603,,,4,,,,,0,,,0,2.229953863053827,.0132633493527155,2.1324754,.0004683269955496,,.0001234769307227,,127.14246,68.840096,208.20143,1.1099074,1.0247236,4.531436,4.0463123,,1.0162567,1.2861418
1895,.5948479202060259,.3436142845606245,.0252130019995257,-.0087341780920052,.658847920206026,69580,40608,.5836159816039092,.5842167057761244,21970,.0932635411925353,66006,.9486346651336591,.9004109085807455,1829,.0262862891635527,5.428650423275977,5.601018271450366,11.71591498185589,7.203389830508478,,,,215.5,336.9161499436301,,,0,0,0,4.423926200554949,,503.6288656,699.2,11384.20585625554,,,,,15.5,8.48,1895,4.4,,356,.0806,22.64044943820225,.5547143840330351,2.450103234686855,.0091664951165398,.0267110967663626,.028930900243309,-4.096865772389735,-1.937215544404236,-.5307537584240544,19.37266060632777,-2.739705036956525,0,0,1895,-1.386311339857468,.354,.1655792,-.362,.075,-.0203,-182,7.681312084264655,,,,,,,158853.8,95.62425683333332,15754,-.0115526215564301,,1,.0025525638950341,,,42,43,40.8,,,0,,,0,2.283038229376257,.124660097199339,1.8953888,.0004902565959596,,.0001329127709749,,120.5285,65.209106,195.91225,1.0468254,1.0764178,4.0827155,3.9486866,,1.0059011,1.2655678
1896,.6318460448606329,.367029989366049,-.0361503060529383,.0252130019995257,.695846044860633,70885,43905,.6193835084996826,.5843249713516891,23270,.0871078642028363,73372,1.035084996825845,.9459591809041925,1813,.0255766382168301,5.506363560567036,5.580440318354222,-2.273781902552208,-5.335968379446642,,,,210.6,329.2554114994362,,,0,0,0,3.821083672235086,,442.1878727,613.9,11572.31588287489,,,,,16.78,9.27,1896,2.8,,352,.0779,22.13068181818182,.5466666666666667,2.470175438596491,.0062247381702061,.0637853358161028,.0267110967663626,-3.337209520498197,0,-.0892875094244785,18.15892206745841,-.4917004935248093,0,0,1896,-1.870615225958527,.354,.1655792,-.362,.075,-.0203,-15,7.7253022345776,,,,,,,157951.5,95.62425683333332,15643,-.0009588953525539,,3,.007835862099428,,,11,26,24.7,,,0,,,0,2.228278197079777,.0334087143774062,1.9235088,.0005684522985105,,.00013204172462,,133.34633,70.674614,222.84219,1.1594995,.99344647,3.9000921,3.6683586,,1.0057269,1.2581434
1897,.5900613251150737,.3328430608707758,.0400179242788294,-.0361503060529383,.6540613251150738,72189,47811,.6623031209741096,.6067284356328454,23696,.0937288993923025,75035,1.039424289019103,.9857017695095729,1671,.0231475709595645,4.691893822017075,5.403827509652781,8.167141500474839,6.889352818371619,,,,227.8,356.1461668545659,,,0,0,1,3.641624440038187,,440,619.6,12082.51996450754,,,,,15.27,8.51,1897,4.3,,366,.0836,22.84153005464481,.5507246376811593,2.411067193675889,.0291892475647782,.0246096312543053,.0637853358161028,-3.236745248371431,-.9996429846483301,-.0019568193786203,20.33789234351805,-.0096215445807687,0,0,1897,-1.870615225958527,.32,.0925256,.232,.161,.0168526,91,7.785585398608551,,,,,,,157061.2,95.62425683333332,16309,.0055797412471641,,2,.0048294777820882,,,63,69,119.7,,,0,,,0,2.175694357866157,.1768936629485791,1.8603425,.0006069480518545,,.0001522755273764,,134.24544,66.534477,210.68597,1.0677203,1.1532379,3.3635995,3.6925578,,1.0078033,1.2509792
1898,.5977738329758733,.3047719739748173,.0594641866705601,.0400179242788294,.6617738329758733,73494,35758,.4865431191661904,.5879614325609729,22178,.1240869329966634,75634,1.029118023239992,1.01306549355465,1238,.0168449125098648,3.395607966972398,4.755628943208121,2.370500438981549,.78125,,,,233.2,364.5886133032693,,,0,0,1,3.708490698985344,,467,710.2,12592.72404614019,,,,,13.87,7.79,1898,2.6,,443,.1508,34.04063205417607,.9580686149936469,2.81448538754765,.0077821147964166,.018562768064585,.0246096312543053,-1.630181022582589,0,-1.358038152610442,20.51024858280462,-6.621266178845797,1,0,1898,-1.891699328979896,.32,.0925256,.232,.161,.0168526,400,7.844983002204034,,,,,,,162503.9,95.62425683333332,18263,.0219022066473197,,0,0,,,291,303,650.6,,,0,,,0,2.211117914387569,.7981598694579707,1.8564168,.0006599205565033,,.0001359938837925,,98.077667,60.830204,207.45026,1.0872768,.89307779,3.1502628,3.2019045,,1.0076292,1.241293
1899,.5979566185586203,.2247589263778637,.1389710875817743,.0594641866705601,.6619566185586203,74799,41337,.5526410780892793,.5802177066823155,25427,.1302159122192945,81416,1.088463749515368,1.048022764650077,1649,.0220457492747229,4.052023289126878,4.411472159670847,11.62092624356776,2.325581395348819,,,,260.3,406.9571871476887,,,0,0,1,4.089799419371866,,550,831.4,13448.09228039042,,,,,10.33,5.85,1899,3.9,,605,.2937,48.54545454545454,1.645378151260504,3.389355742296918,.0333206140457348,.0091664951165398,.018562768064585,.9193372689797252,0,.1157587440381558,23.08824474433158,.5013752466677912,0,0,1899,-.7342146322631415,.29,.0580505,.232,.287,.1074468,359,7.877360286285367,,,,,,,168268.6,95.62425683333332,19694,.0182289022037169,,1,.0021132444079134,,,1125,1208,2262.7,,,0,,,0,2.249610288907606,2.764418556863395,1.7439775,.000701177148927,,.0001216625259542,,101.5758,62.480774,200.06036,1.0625175,.89461762,2.897388,3.5852473,,1.0041271,1.2318946
1900,.5459127667997152,.1944620682546949,.220790727945282,.1389710875817743,.6099127667997153,76094,41898,.5506084579598917,.5630239440473678,26414,.131861891421216,95573,1.255986017294399,1.103248019767215,1721,.0226167634767524,4.147681476195272,4.071801638577906,1.959277756434874,1.515151515151514,,,,265.4,414.9306087936864,,,0,0,1,5.604532880673959,,791,1170.2,14113.57586512866,,,,,8.75,5,1900,4.9,,521,.191,36.66026871401152,1.027987082884823,2.804090419806244,.0154066097016678,.0062247381702061,.0091664951165398,2.642965175819212,1.00973674720517,-.2193906770255272,23.71074389928096,-.9252796030249406,0,0,1900,-.2499107461620825,.29,.0580505,.232,.287,.1074468,393.5,7.908499684836893,,,,,,,188627.3,142.2317816666667,20766,.0189492439564673,,0,0,,,315,340,442.4,,,0,,,0,2.478872184403501,.7591630825110464,1.7761034,.0007410313137885,,.0001031831054761,,100.97592,63.658836,230.3349,1.056839,.84810919,2.7269084,4.007575,,1.003953,1.2268313
1901,.5079875713057627,.1552758493068838,.2986978703288112,.220790727945282,.5719875713057627,77584,46334,.5972107651062075,.5467508550803922,27288,.1246701846965699,93299,1.20255465044339,1.144030610123288,1928,.0248504846360074,4.139634251248435,3.933736745885745,12.24566691785984,9.141791044776127,,,,297.9,465.7416290868093,,,0,0,1,7.001150842581176,,1058,1440.7,15111.80124223602,,,,,7.05,4.14,1901,4.6,,525,.206,39.23809523809524,.9823557463042442,2.503576537911302,.0432750798509215,.0291892475647782,.0062247381702061,3.886851848113948,.9877424729263451,-.7715437769925402,27.64649151706874,-2.790747522217041,0,0,1901,.00252344063921,.3415,.0850753,.3175,.296,.1237128,334,7.939056605372532,,,,,,,211476,125.2385966666667,22484,.0148550080056929,,0,0,,,390,423,2052.9,,,0,,,0,2.725768199628789,.837374148333449,1.5212208,.0007483684327613,,.0001031087108453,,99.484344,58.590424,200.32352,1.0099012,.99927896,2.5802498,4.7253056,,1.0038638,1.2220007
1902,.5711826594582643,.1778790566307849,.2121419858797556,.2986978703288112,.6351826594582644,79163,49490,.6251657971527103,.5814065245770222,27761,.1260401282374554,93891,1.186046511627907,1.183262732220266,2006,.0253401210161313,4.234613185493781,4.143488050516091,1.711983887210478,-4.78632478632478,,,,303,473.715050732807,,,0,0,1,8.302770266541582,,1335,1681,16078.97071872227,,,,,5.73,3.45,1902,5.4,,485,.18,37.11340206185567,.8314087759815243,2.240184757505774,.0195687259120095,.0077821147964166,.0291892475647782,2.949772655164473,.978081546075904,.4915864777189687,27.79340818894682,1.768716072447956,0,0,1902,.4993698050328788,.3415,.0850753,.3175,.296,.1237128,153,7.968348083845509,,,,,,,232187.7142857143,92.41685249999999,24294,.0062978513213139,,3,.0052563244426119,,,333,379,910.8,,,0,,,0,2.933033289361372,.7029542326866546,1.4087759,.0008663232630319,,.0001009228802675,,104.47208,58.602741,198.20143,1.157616,.97880071,2.5549526,4.7287149,,1.0036895,1.2172973
